id,mot,contains,restant
0,saint,4381,32459
1,sur,1700,30759
2,sainte,361,30398
3,et,289,30109
4,sous,214,29895
5,chapelle,98,29797
6,mer,2,29795
7,martin,5,29790
8,mesnil,67,29723
9,seine,1,29722
10,loire,3,29719
11,villers,46,29673
12,pierre,13,29660
13,marne,1,29659
14,notre,53,29606
15,jean,1,29605
16,mont,23,29582
17,germain,0,29582
18,neuville,24,29558
19,fontaine,33,29525
20,pres,30,29495
21,georges,0,29495
22,croix,17,29478
23,meuse,1,29477
24,pont,23,29454
25,grand,39,29415
26,vieux,32,29383
27,di,40,29343
28,bois,21,29322
29,villeneuve,16,29306
30,hilaire,0,29306
31,julien,0,29306
32,ville,19,29287
33,saone,1,29286
34,roche,22,29264
35,marie,3,29261
36,remy,2,29259
37,denis,0,29259
38,aubin,2,29257
39,chateau,25,29232
40,laurent,0,29232
41,bourg,17,29215
42,maurice,0,29215
43,vaux,15,29200
44,chatillon,9,29191
45,andre,2,29189
46,leger,1,29188
47,loup,1,29187
48,villiers,11,29176
49,petit,22,29154
50,beaumont,19,29135
51,lez,19,29116
52,sauveur,0,29116
53,montigny,14,29102
54,riviere,17,29085
55,colombe,3,29082
56,devant,16,29066
57,michel,0,29066
58,sarthe,0,29066
59,varennes,12,29054
60,courcelles,11,29043
61,christophe,0,29043
62,vincent,1,29042
63,aube,2,29040
64,isle,13,29027
65,port,14,29013
66,montreuil,8,29005
67,champagne,13,28992
68,labastide,17,28975
69,paul,0,28975
70,plessis,19,28956
71,beaulieu,12,28944
72,dame,2,28942
73,paris,22,28920
74,menil,16,28904
75,conde,6,28898
76,just,0,28898
77,haute,16,28882
78,orne,2,28880
79,fontenay,10,28870
80,cher,0,28870
81,sulpice,0,28870
82,magny,17,28853
83,seille,0,28853
84,salles,14,28839
85,moselle,1,28838
86,ferte,14,28824
87,etienne,0,28824
88,celle,8,28816
89,ouen,0,28816
90,eure,0,28816
91,romain,5,28811
92,laval,9,28802
93,vienne,1,28801
94,clermont,12,28789
95,savigny,7,28782
96,yonne,1,28781
97,dampierre,8,28773
98,somme,5,28768
99,ferrieres,11,28757
100,oise,0,28757
101,dompierre,4,28753
102,bosc,12,28741
103,marcel,1,28740
104,chateauneuf,9,28731
105,verneuil,6,28725
106,bocage,12,28713
107,amand,0,28713
108,bernard,3,28710
109,montfort,4,28706
110,puy,5,28701
111,haut,14,28687
112,villars,8,28679
113,garonne,0,28679
114,trois,13,28666
115,belmont,10,28656
116,cyr,0,28656
117,pin,14,28642
118,aisne,1,28641
119,thil,8,28633
120,pere,4,28629
121,breuil,9,28620
122,dun,1,28619
123,quentin,0,28619
124,victor,0,28619
125,saulx,3,28616
126,didier,0,28616
127,charente,3,28613
128,basse,11,28602
129,ferriere,10,28592
130,luc,5,28587
131,tour,8,28579
132,allier,1,28578
133,rochefort,7,28571
134,brie,7,28564
135,motte,10,28554
136,robert,4,28550
137,medard,1,28549
138,clement,0,28549
139,vieille,11,28538
140,lachapelle,6,28532
141,marigny,10,28522
142,lauragais,11,28511
143,fleury,9,28502
144,eglise,8,28494
145,sailly,10,28484
146,aire,3,28481
147,chatel,8,28473
148,castelnau,10,28463
149,clair,0,28463
150,neuve,6,28457
151,chaumont,7,28450
152,serre,2,28448
153,angles,11,28437
154,avre,0,28437
155,val,5,28432
156,chambon,6,28426
157,villard,6,28420
158,mars,4,28416
159,symphorien,0,28416
160,bordes,9,28407
161,forges,9,28398
162,pouilly,3,28395
163,louis,1,28394
164,aignan,1,28393
165,martial,0,28393
166,moutiers,7,28386
167,bar,1,28385
168,dommartin,7,28378
169,dessus,9,28369
170,barthelemy,0,28369
171,moulins,6,28363
172,loing,0,28363
173,genest,0,28363
174,deux,11,28352
175,fontaines,5,28347
176,layon,0,28347
177,tille,1,28346
178,plage,9,28337
179,capelle,9,28328
180,essonne,0,28328
181,ouche,0,28328
182,petite,10,28318
183,mons,10,28308
184,anne,0,28308
185,indre,1,28307
186,bailleul,7,28300
187,gilles,1,28299
188,gervais,0,28299
189,avit,0,28299
190,radegonde,0,28299
191,caumont,7,28292
192,brion,8,28284
193,beauvoir,8,28276
194,risle,0,28276
