mot,score
saint,4380
sur,1965
sainte,392
et,331
sous,253
chapelle,138
mer,105
martin,93
mesnil,78
seine,77
loire,74
villers,74
pierre,72
marne,56
notre,53
jean,53
mont,50
germain,47
neuville,46
fontaine,46
pres,45
georges,45
croix,44
meuse,43
pont,42
grand,41
vieux,39
di,39
bois,39
villeneuve,37
hilaire,36
julien,36
ville,36
saone,36
roche,34
marie,33
remy,33
denis,33
aubin,33
chateau,33
laurent,29
bourg,29
maurice,29
vaux,29
chatillon,29
andre,28
leger,28
loup,28
villiers,27
petit,27
beaumont,26
lez,26
sauveur,26
montigny,26
riviere,26
colombe,25
devant,25
michel,24
sarthe,24
varennes,23
courcelles,23
christophe,22
vincent,22
aube,22
isle,22
port,22
montreuil,22
champagne,22
labastide,21
paul,21
plessis,21
beaulieu,21
dame,21
paris,21
menil,21
conde,20
just,20
haute,20
orne,20
fontenay,19
cher,19
sulpice,19
magny,19
seille,18
salles,18
moselle,18
ferte,18
etienne,18
celle,18
ouen,17
eure,17
romain,17
laval,17
vienne,16
clermont,16
savigny,16
yonne,16
dampierre,16
somme,16
ferrieres,15
oise,15
dompierre,15
bosc,15
marcel,15
chateauneuf,15
verneuil,14
bocage,14
amand,14
bernard,14
montfort,14
puy,14
haut,14
villars,14
garonne,13
trois,13
belmont,13
cyr,13
pin,13
aisne,13
thil,13
pere,13
breuil,13
dun,13
quentin,13
victor,13
saulx,13
didier,12
charente,12
basse,12
ferriere,12
luc,12
tour,12
allier,12
rochefort,12
brie,12
motte,12
robert,12
medard,12
clement,12
vieille,12
lachapelle,11
marigny,11
lauragais,11
fleury,11
eglise,11
sailly,11
aire,11
chatel,11
castelnau,11
clair,11
neuve,11
chaumont,11
serre,11
angles,11
avre,11
val,11
chambon,11
villard,11
mars,11
symphorien,10
bordes,10
forges,10
pouilly,10
louis,10
aignan,10
martial,10
moutiers,10
bar,10
dommartin,10
dessus,10
barthelemy,10
moulins,10
loing,10
genest,10
deux,10
fontaines,10
layon,10
tille,10
plage,10
capelle,10
essonne,10
ouche,10
petite,10
mons,10
anne,10
indre,10
bailleul,10
gilles,10
gervais,10
avit,10
radegonde,10
caumont,10
brion,10
beauvoir,10
risle,10
brice,10
cabardes,10
neuilly,10
priest,10
neuvy,10
rhone,10
orge,10
bussiere,10
marcilly,9
fosse,9
amance,9
gironde,9
champs,9
rosieres,9
beaufort,9
champ,9
billy,9
longueville,9
blaise,9
fort,9
maisons,9
bonnet,9
lamothe,9
